,shap_mean_abs,shap_rank,importance,importance_rank
t2,4158.564002001613,1,0.42064851970151446,1
workingday,1954.862563258333,2,0.09972925083316113,3
hum,1826.977321665346,3,0.23300321811581587,2
season,1246.7421699732806,4,0.08700058622995847,4
weather_code,1164.348438944029,5,0.0686371607276827,5
wind_speed,490.7076706194365,6,0.0501579320025601,6
weekday,192.41687814019863,7,0.018776215759925358,8
mnth,154.56887010729204,8,0.01972462705615818,7
is_holiday,12.619941868537346,9,0.0023224895732238283,9
